,tAtm,Prec,rSoil,rRoot,hCritA,cTop,cBot
0,1,6.363636363636363,0.0,0.0,,1.67e-09,1.67e-09
1,2,6.916666666666667,0.0,0.0,,1.67e-09,1.67e-09
2,3,6.337837837837838,0.0,0.0,,1.67e-09,1.67e-09
3,4,6.8125,0.0,0.0,,1.67e-09,1.67e-09
4,5,5.9375,0.0,0.0,,1.67e-09,1.67e-09
5,6,5.409722222222222,0.0,0.0,,1.67e-09,1.67e-09
6,7,7.006944444444445,0.0,0.0,,1.67e-09,1.67e-09
7,8,8.208333333333334,0.0,0.0,,1.67e-09,1.67e-09
8,9,8.01388888888889,0.0,0.0,,1.67e-09,1.67e-09
9,10,8.097222222222221,0.0,0.0,,1.67e-09,1.67e-09
10,11,7.9375,0.0,0.0,,1.67e-09,1.67e-09
11,12,7.694444444444445,0.0,0.0,,1.67e-09,1.67e-09
12,13,6.951388888888889,0.0,0.0,,1.67e-09,1.67e-09
13,14,7.791666666666667,0.0,0.0,,1.67e-09,1.67e-09
14,15,8.42361111111111,0.0,0.0,,1.67e-09,1.67e-09
15,16,8.243055555555555,0.0,0.0,,1.67e-09,1.67e-09
16,17,8.229166666666666,0.0,0.0,,1.67e-09,1.67e-09
17,18,8.54861111111111,0.0,0.0,,1.67e-09,1.67e-09
18,19,8.652777777777779,0.0,0.0,,1.67e-09,1.67e-09
19,20,8.20138888888889,0.0,0.0,,1.67e-09,1.67e-09
20,21,8.375,0.0,0.0,,1.67e-09,1.67e-09
21,22,8.75,0.0,0.0,,1.67e-09,1.67e-09
22,23,8.625,0.0,0.0,,1.67e-09,1.67e-09
23,24,8.38888888888889,0.0,0.0,,1.67e-09,1.67e-09
24,25,8.465277777777779,0.0,0.0,,1.67e-09,1.67e-09
25,26,8.0,0.0,0.0,,1.67e-09,1.67e-09
26,27,7.1875,0.0,0.0,,1.67e-09,1.67e-09
27,28,8.305555555555555,0.0,0.0,,1.67e-09,1.67e-09
28,29,8.694444444444445,0.0,0.0,,1.67e-09,1.67e-09
29,30,7.965277777777778,0.0,0.0,,1.67e-09,1.67e-09
30,31,8.26388888888889,0.0,0.0,,1.67e-09,1.67e-09
31,32,8.26388888888889,0.0,0.0,,1.67e-09,1.67e-09
32,33,7.736111111111111,0.0,0.0,,1.67e-09,1.67e-09
33,34,7.3125,0.0,0.0,,1.67e-09,1.67e-09
34,35,7.194444444444445,0.0,0.0,,1.67e-09,1.67e-09
35,36,7.222222222222222,0.0,0.0,,1.67e-09,1.67e-09
36,37,7.111111111111111,0.0,0.0,,1.67e-09,1.67e-09
37,38,7.645833333333333,0.0,0.0,,1.67e-09,1.67e-09
38,39,7.743055555555555,0.0,0.0,,1.67e-09,1.67e-09
39,40,7.680555555555555,0.0,0.0,,1.67e-09,1.67e-09
40,41,6.833333333333333,0.0,0.0,,1.67e-09,1.67e-09
41,42,7.3125,0.0,0.0,,1.67e-09,1.67e-09
42,43,7.604166666666667,0.0,0.0,,1.67e-09,1.67e-09
43,44,7.6875,0.0,0.0,,1.67e-09,1.67e-09
44,45,8.04861111111111,0.0,0.0,,1.67e-09,1.67e-09
45,46,8.444444444444445,0.0,0.0,,1.67e-09,1.67e-09
46,47,7.736111111111111,0.0,0.0,,1.67e-09,1.67e-09
47,48,7.426573426573427,0.0,0.0,,1.67e-09,1.67e-09
48,49,8.286713286713287,0.0,0.0,,1.67e-09,1.67e-09
49,50,8.70138888888889,0.0,0.0,,1.67e-09,1.67e-09
50,51,8.86111111111111,0.0,0.0,,1.67e-09,1.67e-09
51,52,8.840277777777779,0.0,0.0,,1.67e-09,1.67e-09
52,53,9.5625,0.0,0.0,,1.67e-09,1.67e-09
53,54,8.618055555555555,0.0,0.0,,1.67e-09,1.67e-09
54,55,7.555555555555555,0.0,0.0,,1.67e-09,1.67e-09
55,56,8.493055555555555,0.0,0.0,,1.67e-09,1.67e-09
56,57,9.604166666666666,0.0,0.0,,1.67e-09,1.67e-09
57,58,35.263888888888886,0.0,0.0,,1.67e-09,1.67e-09
58,59,30.657342657342657,0.0,0.0,,1.67e-09,1.67e-09
59,60,9.01388888888889,0.0,0.0,,1.67e-09,1.67e-09
60,61,7.465277777777778,0.0,0.0,,1.67e-09,1.67e-09
61,62,6.888888888888889,0.0,0.0,,1.67e-09,1.67e-09
62,63,7.868055555555555,0.0,0.0,,1.67e-09,1.67e-09
63,64,8.277777777777779,0.0,0.0,,1.67e-09,1.67e-09
64,65,7.465277777777778,0.0,0.0,,1.67e-09,1.67e-09
65,66,7.270833333333333,0.0,0.0,,1.67e-09,1.67e-09
66,67,7.597222222222222,0.0,0.0,,1.67e-09,1.67e-09
67,68,7.868055555555555,0.0,0.0,,1.67e-09,1.67e-09
68,69,7.1875,0.0,0.0,,1.67e-09,1.67e-09
69,70,8.069444444444445,0.0,0.0,,1.67e-09,1.67e-09
70,71,9.034722222222221,0.0,0.0,,1.67e-09,1.67e-09
71,72,8.645833333333334,0.0,0.0,,1.67e-09,1.67e-09
72,73,8.618055555555555,0.0,0.0,,1.67e-09,1.67e-09
73,74,8.791666666666666,0.0,0.0,,1.67e-09,1.67e-09
74,75,8.61111111111111,0.0,0.0,,1.67e-09,1.67e-09
75,76,8.07638888888889,0.0,0.0,,1.67e-09,1.67e-09
76,77,8.875,0.0,0.0,,1.67e-09,1.67e-09
77,78,9.1875,0.0,0.0,,1.67e-09,1.67e-09
78,79,39.986111111111114,0.0,0.0,,1.67e-09,1.67e-09
79,80,9.23611111111111,0.0,0.0,,1.67e-09,1.67e-09
80,81,8.5,0.0,0.0,,1.67e-09,1.67e-09
81,82,7.881944444444445,0.0,0.0,,1.67e-09,1.67e-09
82,83,7.284722222222222,0.0,0.0,,1.67e-09,1.67e-09
83,84,7.951048951048951,0.0,0.0,,1.67e-09,1.67e-09
84,85,7.951388888888889,0.0,0.0,,1.67e-09,1.67e-09
85,86,8.291666666666666,0.0,0.0,,1.67e-09,1.67e-09
86,87,8.256944444444445,0.0,0.0,,1.67e-09,1.67e-09
87,88,8.159722222222221,0.0,0.0,,1.67e-09,1.67e-09
88,89,7.909722222222222,0.0,0.0,,1.67e-09,1.67e-09
89,90,7.631944444444445,0.0,0.0,,1.67e-09,1.67e-09
90,91,8.041666666666666,0.0,0.0,,1.67e-09,1.67e-09
91,92,8.590277777777779,0.0,0.0,,1.67e-09,1.67e-09
92,93,9.0,0.0,0.0,,1.67e-09,1.67e-09
93,94,8.847222222222221,0.0,0.0,,1.67e-09,1.67e-09
94,95,9.17361111111111,0.0,0.0,,1.67e-09,1.67e-09
95,96,9.04861111111111,0.0,0.0,,1.67e-09,1.67e-09
96,97,8.430555555555555,0.0,0.0,,1.67e-09,1.67e-09
97,98,9.069444444444445,0.0,0.0,,1.67e-09,1.67e-09
98,99,9.42361111111111,0.0,0.0,,1.67e-09,1.67e-09
99,100,9.6875,0.0,0.0,,1.67e-09,1.67e-09
100,101,9.659722222222221,0.0,0.0,,1.67e-09,1.67e-09
101,102,9.88888888888889,0.0,0.0,,1.67e-09,1.67e-09
102,103,9.493055555555555,0.0,0.0,,1.67e-09,1.67e-09
103,104,8.79861111111111,0.0,0.0,,3.73e-09,5.33e-09
104,105,9.458333333333334,0.0,0.0,,1.67e-09,1.67e-09
105,106,10.125,0.0,0.0,,1.67e-09,1.67e-09
106,107,10.215277777777779,0.0,0.0,,1.67e-09,1.67e-09
107,108,10.284722222222221,0.0,0.0,,1.67e-09,1.67e-09
108,109,10.48611111111111,0.0,0.0,,1.67e-09,1.67e-09
109,110,9.541666666666666,0.0,0.0,,1.67e-09,1.67e-09
110,111,8.958333333333334,0.0,0.0,,1.67e-09,1.67e-09
111,112,9.833333333333334,0.0,0.0,,1.67e-09,1.67e-09
112,113,11.13888888888889,0.0,0.0,,1.67e-09,1.67e-09
113,114,10.57638888888889,0.0,0.0,,1.67e-09,1.67e-09
114,115,10.770833333333334,0.0,0.0,,1.67e-09,1.67e-09
115,116,10.88888888888889,0.0,0.0,,1.67e-09,1.67e-09
116,117,10.479166666666666,0.0,0.0,,1.67e-09,1.67e-09
117,118,10.466019417475728,0.0,0.0,,1.67e-09,1.67e-09
118,119,10.583333333333334,0.0,0.0,,1.67e-09,1.67e-09
119,120,11.444444444444445,0.0,0.0,,1.67e-09,1.67e-09
120,121,11.63888888888889,0.0,0.0,,1.67e-09,1.67e-09
121,122,11.729166666666666,0.0,0.0,,1.67e-09,1.67e-09
122,123,11.617021276595745,0.0,0.0,,1.67e-09,1.67e-09
123,124,11.235294117647058,0.0,0.0,,1.67e-09,1.67e-09
124,125,9.909722222222221,0.0,0.0,,1.67e-09,1.67e-09
125,126,12.270833333333334,0.0,0.0,,1.67e-09,1.67e-09
126,127,11.576576576576576,0.0,0.0,,1.67e-09,1.67e-09
127,128,10.972222222222221,0.0,0.0,,1.67e-09,1.67e-09
128,129,11.194444444444445,0.0,0.0,,1.67e-09,1.67e-09
129,130,11.23611111111111,0.0,0.0,,1.67e-09,1.67e-09
130,131,11.256944444444445,0.0,0.0,,1.67e-09,1.67e-09
131,132,10.958333333333334,0.0,0.0,,1.67e-09,1.67e-09
132,133,11.63888888888889,0.0,0.0,,1.67e-09,1.67e-09
133,134,12.08,0.0,0.0,,1.67e-09,1.67e-09
134,135,,0.0,0.0,,1.67e-09,1.67e-09
135,136,,0.0,0.0,,1.67e-09,1.67e-09
136,137,12.511111111111111,0.0,0.0,,1.67e-09,1.67e-09
137,138,21.146853146853147,0.0,0.0,,1.67e-09,1.67e-09
138,139,11.708333333333334,0.0,0.0,,1.67e-09,1.67e-09
139,140,12.505376344086022,0.0,0.0,,1.67e-09,1.67e-09
140,141,11.909722222222221,0.0,0.0,,1.67e-09,1.67e-09
141,142,11.868686868686869,0.0,0.0,,1.67e-09,1.67e-09
142,143,12.266129032258064,0.0,0.0,,1.67e-09,1.67e-09
